Game_Name,Genre,Year_Released,Year_Shutdown,Budget_Tier,Monetization_Model,Key_Factor,Critical_Flaw,Community_Verdict,Hype_vs_Reality_Gap,Outcome,2035_Forecast
Concord,Hero Shooter,2024,2024,AAA,Premium + Cosmetics,Market Saturation,Generic character design,dead-on-arrival,9,FLOP,Forgotten
The Day Before,Survival MMO,2023,2023,Indie (Fake AAA),Upfront Purchase,Deceptive Marketing,Features didn't exist,scam broken,10,SCAM,Fraud Case Study
Anthem,Looter Shooter,2019,2021,AAA,Live Service,Technical Issues,Empty endgame,brick-console,8,FLOP,Forgotten
Babylon's Fall,Action RPG,2022,2023,AA,Premium + MTX,Visual Style,Unappealing graphics,ugly cash-grab,6,FLOP,Unplayable
Marvel's Avengers,Brawler,2020,2023,AAA,Live Service,Identity Crisis,Forced live-service,repetitive greedy,7,FLOP,Delisted
Suicide Squad: KTJL,Looter Shooter,2024,N/A,AAA,Live Service,Tone Deafness,Disrespectful to lore,insulting boring,8,FLOP,Servers Closed
Gollum,Adventure,2023,N/A,AA,Upfront Purchase,Quality Collapse,Broken logic & Bugs,embarrassing,4,FLOP,Meme
LawBreakers,Arena Shooter,2017,2018,AA,Upfront Purchase,Bad Timing,Released vs Overwatch,forgotten,5,FLOP,Forgotten
E.T.,Adventure,1982,1983,Low,Upfront,Rushed Dev,5 weeks dev time,trash,2,FLOP,Historical Artifact
SimCity (2013),City Builder,2013,N/A,AAA,Upfront,DRM Policy,Always-online req,arrogance,9,FLOP,Replaced by Cities Skylines
Elden Ring,Soulslike,2022,N/A,AAA,Upfront Purchase,Artistic Integrity,None (High Difficulty),masterpiece,0,HIT,Legendary Classic
Baldur's Gate 3,CRPG,2023,N/A,AAA,Upfront Purchase,Player Freedom,Minor bugs act 3,genre-defining,0,HIT,RPG Benchmark
Grand Theft Auto V,Open World,2013,N/A,AAA,Upfront + Shark Cards,Cultural Phenomenon,Loading times,unstoppable,0,HIT,Replaced by GTA 7
Minecraft,Sandbox,2011,N/A,Indie (Now AAA),Upfront + Marketplace,Infinite Creativity,None,timeless,0,HIT,Still Active (Metaverse)
Fortnite,Battle Royale,2017,N/A,AAA,F2P + Battle Pass,Live Service Mastery,FOMO,platform-ecosystem,2,HIT,Social Hub
Hades,Roguelike,2020,N/A,Indie,Upfront Purchase,Narrative Integration,None,perfect-loop,0,HIT,Indie Gold Standard
Helldivers 2,Coop Shooter,2024,N/A,AA,Upfront + Warbond,Emergent Gameplay,Server Capacity,democracy-meme,1,HIT,Cult Classic
Stardew Valley,Farming Sim,2016,N/A,Indie,Upfront Purchase,Passion Project,None,cozy-reference,0,HIT,Cozy Classic
No Man's Sky,Space Sim,2016,N/A,Indie,Upfront Purchase,Developer Dedication,Empty at launch,from-lie-to-legend,10,REDEMPTION,Respected Classic
Cyberpunk 2077,RPG,2020,N/A,AAA,Upfront Purchase,Anime & Patches,Unplayable on PS4,fixed-and-loved,9,REDEMPTION,Visual Benchmark
Final Fantasy XIV,MMORPG,2010,2012 (Reboot),AAA,Subscription,Total Rework (Realm Reborn),Engine Failure,best-redemption,9,REDEMPTION,Legacy Active
The Witcher 3,RPG,2015,N/A,AAA,Upfront + DLC,World Building & Story,Combat Mechanics,masterpiece,0,HIT,Classic Reference
Red Dead Redemption 2,Open World,2018,N/A,AAA,Upfront + MTX,Immersion & Detail,Slow Pacing,technical-marvel,1,HIT,Technical Benchmark
Zelda: Breath of the Wild,Adventure,2017,N/A,AAA,Upfront Purchase,Systemic Physics,Weapon Durability,design-bible,0,HIT,Design Standard
Skyrim,RPG,2011,N/A,AAA,Upfront Purchase,Modding Community,Bugs at launch,timeless,0,HIT,Still Ported Everywhere
God of War (2018),Action Adventure,2018,N/A,AAA,Upfront Purchase,Franchise Reboot,Limited Enemy Variety,masterpiece,0,HIT,Classic
The Last of Us Part 1,Action Adventure,2013,N/A,AAA,Upfront Purchase,Cinematic Storytelling,Linearity,emotional,0,HIT,Remade for PS7
Hollow Knight,Metroidvania,2017,N/A,Indie,Upfront Purchase,Atmosphere & Tight Controls,High Difficulty,perfect,0,HIT,Indie Legend
Terraria,Sandbox,2011,N/A,Indie,Upfront Purchase,Content Density,Confusing Start,labor-of-love,0,HIT,Still Played
Among Us,Social Deduction,2018,N/A,Indie,Free/Cheap + Cosmetics,Social Virality,Cheaters,party-classic,0,HIT,Party Game Staple
Roblox,Platform,2006,N/A,AAA,F2P + UGC Economy,User Generated Content,Exploitative Economy,dominant,0,HIT,Metaverse Giant
League of Legends,MOBA,2009,N/A,AAA,F2P + Skins,Esports Ecosystem,Toxic Community,addictive,2,HIT,Virtual Sport
Counter-Strike 2,FPS,2023,N/A,AAA,F2P + Skins,Skin Economy & Balance,Cheaters,competitive-standard,1,HIT,Still Top FPS
Valorant,Tactical FPS,2020,N/A,AAA,F2P + Skins,Competitive Integrity,Expensive Skins,polished,1,HIT,Top Esport
Overwatch 1,Hero Shooter,2016,2022,AAA,Upfront + Lootboxes,Character Design,Content Drought later,beloved-then-killed,0,HIT,Nostalgia
Destiny 2,Looter Shooter,2017,N/A,AAA,F2P + Expansions,Gunplay Feel,Sunset Content,love-hate,4,STABLE,Replaced by Destiny 3
Apex Legends,Battle Royale,2019,N/A,AAA,F2P + Cosmetics,Movement Mechanics,Server Issues,high-skill,1,HIT,Genre Staple
Call of Duty: Warzone,Battle Royale,2020,N/A,AAA,F2P + Battle Pass,Gunplay & Brand,Cheaters & Bloat,popular-casual,3,STABLE,Replaced by Warzone 3
FIFA / EA FC,Sports,Annual,N/A,AAA,Upfront + Ultimate Team,Licensing Monopoly,Pay-to-Win,casino-sim,5,STABLE,Annual Iteration
Starfield,RPG,2023,N/A,AAA,Game Pass,Bethesda Formula,Outdated Engine & Loading,disappointed,7,MIXED,Modded Alive
Diablo IV,ARPG,2023,N/A,AAA,Upfront + Battle Pass,Art & Combat Feel,Itemization at launch,polished-but-boring,4,MIXED,Replaced by Diablo 5
Pokémon GO,Mobile AR,2016,N/A,AAA,F2P + MTX,Real World Interaction,Technical bugs,cultural-phenomenon,1,HIT,Niche Lifestyle App
Genshin Impact,Gacha RPG,2020,N/A,AAA,F2P + Gacha,Content Cadence,Predatory Gacha,high-quality-casino,2,HIT,Live Service Giant
World of Warcraft,MMORPG,2004,N/A,AAA,Subscription,Community & Raids,Outdated Graphics,legendary,0,HIT,Legacy Mode
Duke Nukem Forever,FPS,2011,N/A,AAA,Upfront Purchase,Development Hell,Outdated Humor,cringe,9,FLOP,Forgotten
Aliens: Colonial Marines,FPS,2013,N/A,AAA,Upfront Purchase,False Advertising (AI),Broken AI,scam,9,FLOP,Cautionary Tale
Daikatana,FPS,2000,N/A,AAA,Upfront Purchase,Overhype (John Romero),Bad Level Design,disaster,10,FLOP,History Lesson
Umbrella Corps,Shooter,2016,N/A,AA,Upfront Purchase,Brand Cash-in,Broken Mechanics,joke,8,FLOP,Forgotten
Bleeding Edge,Brawler,2020,2021,AA,Game Pass,Niche Gameplay,Lack of Content,forgotten,6,FLOP,Forgotten
Knockout City,Sports Brawler,2021,2023,AA,F2P,Unique Mechanics,Player Retention,fun-but-dead,5,FLOP,Private Servers
Rocket Arena,Shooter,2020,2021,AA,Upfront Purchase,Bad Model (Paid in F2P era),Generic Art,dead-on-arrival,7,FLOP,Forgotten
